SID	date	startTime	endTime	plateNo	DID
16	2021-03-28	17:29:00	18:27:00	SHZ1940F	44241
16	2021-06-23	5:30:00	6:24:00	SLF3924U	48430
16	2021-08-27	17:30:00	18:22:00	SHM5991A	83733
16	2021-09-13	12:39:00	13:34:00	SLF3924U	48430
36	2019-04-12	6:10:00	7:05:00	SZY5893T	3703
36	2019-12-02	22:52:00	23:46:00	SZV8375K	44241
36	2020-02-08	13:14:00	14:05:00	SHE7395K	69755
36	2020-04-02	12:19:00	13:09:00	SMW3829E	55959
36	2020-05-01	19:19:00	20:12:00	SMW3829E	55959
36	2020-05-07	19:48:00	20:39:00	SZV8375K	69437
36	2020-07-24	16:56:00	17:47:00	SHE7395K	69755
36	2020-07-27	13:45:00	14:35:09	SHE7395K	69755
36	2020-09-05	17:20:00	19:10:00	SNB4304D	46686
36	2020-12-16	21:20:00	23:08:00	SNB4304D	85468
36	2021-03-06	21:20:00	23:08:00	SNB4304D	85468
36	2021-04-28	19:51:00	20:44:00	SMW3829E	55959
36	2021-05-02	14:13:00	15:06:00	SHM4949R	23181
36	2021-05-03	14:24:00	16:07:00	SNB4304D	46686
36	2021-05-15	16:08:00	16:59:00	SZY5893T	34371
36	2021-06-12	19:54:00	21:42:00	SNB4304D	85468
36	2021-07-16	12:51:00	13:41:00	SZV8375K	32482
36	2021-11-12	5:25:00	6:55:00	SNG3783S	49538
36	2021-12-11	6:00:00	6:55:00	SMW3829E	46686
36	2021-12-15	14:16:00	15:56:00	SNB4304D	46686
36	2021-12-22	19:53:00	20:43:00	SZY5893T	44241
77	2019-02-22	14:24:00	16:07:00	SME7564T	17877
77	2019-03-14	21:20:00	23:08:00	SMR3569C	17877
77	2019-05-09	12:34:00	13:42:00	SHM4949R	3685
77	2019-07-17	13:48:00	14:58:00	SMP2968T	19258
77	2019-07-25	10:30:00	11:37:00	SHZ8927D	29984
77	2019-08-09	22:15:00	23:35:00	SHE4894C	84787
77	2019-09-08	22:00:00	23:05:00	SHZ8927D	3685
77	2020-03-26	19:57:00	21:38:00	SZX1856J	19258
77	2020-06-08	19:54:00	21:42:00	SME7564T	17877
77	2020-06-11	21:20:00	23:08:00	SZX1856J	17877
77	2020-11-06	20:05:10	22:35:00	SHG2119L	31844
77	2020-12-19	13:54:00	15:02:00	SHZ8927D	34371
77	2020-12-24	22:29:00	23:32:00	SMP2968T	22027
77	2020-12-30	11:53:00	13:02:00	SHM4949R	64826
77	2021-03-04	10:59:00	12:11:00	SMP2968T	22027
77	2021-04-03	10:35:00	11:45:00	SHG3947F	17372
77	2021-04-04	5:30:00	6:40:00	SMP2968T	19258
77	2021-04-30	6:00:00	7:04:00	SHM4949R	64826
77	2021-05-14	12:34:00	13:42:00	SZI3294H	34543
77	2021-06-14	5:30:00	7:15:00	SZX1856J	19258
77	2021-09-07	17:20:00	19:10:00	SME7564T	17877
77	2021-10-10	11:22:00	12:30:00	SHZ8927D	34371
77	2021-12-20	22:28:00	23:35:00	SMP2968T	22027
106	2019-01-14	13:46:00	14:40:45	SJT3738H	22875
106	2019-03-15	10:33:00	11:27:00	SNG3783S	22875
106	2019-03-25	10:26:00	11:30:00	SHF2329E	32066
106	2019-04-06	7:45:00	8:30:00	SHO4779M	16661
106	2019-05-13	20:22:00	22:02:00	SHO4779M	66775
106	2019-06-04	7:15:00	9:20:00	SHB9088W	89832
106	2019-06-13	19:53:00	20:43:00	SJT3738H	56991
106	2019-07-01	21:52:00	23:19:00	SJT3738H	56991
106	2019-07-17	7:40:00	8:28:00	SJT3738H	56991
106	2019-12-28	20:59:00	21:58:00	SNG3783S	22875
106	2020-02-23	12:28:00	13:20:00	SHF2329E	33969
106	2020-03-21	13:54:00	15:02:00	SHF2329E	33969
106	2020-04-12	17:23:00	19:10:00	SHM9811G	84844
106	2020-05-01	5:32:00	7:27:00	SHO4779M	16661
106	2020-05-09	18:34:00	19:50:00	SNG3783S	22875
106	2020-05-16	22:32:00	23:10:00	SHO4779M	90672
106	2020-07-19	7:12:00	8:02:00	SNG3783S	32066
106	2021-03-20	16:17:00	17:58:00	SZP1969R	65448
106	2021-03-24	7:45:00	8:45:00	SJT3738H	56991
106	2021-05-06	11:50:00	13:38:00	SHO4779M	81807
106	2021-05-20	18:31:00	20:19:00	SHO4779M	81807
106	2021-06-19	11:47:00	13:38:00	SHO4779M	16661
111	2019-01-09	19:29:00	20:59:00	SKT3928G	10791
111	2019-03-30	10:33:00	11:27:00	SZP1969R	75113
111	2019-05-18	10:17:00	11:29:00	SKT3928G	28293
111	2019-07-09	18:11:00	19:08:00	SHU4545S	51106
111	2019-09-07	17:15:00	19:12:00	SHG2119L	57989
111	2019-09-07	17:55:00	19:25:00	SHI2052G	10791
111	2020-03-11	12:25:00	14:25:00	SHI2052G	57989
111	2020-03-11	22:00:00	23:56:00	SHG2119L	13308
111	2020-05-25	22:00:00	23:03:00	SKT3928G	10791
111	2020-07-03	12:11:00	13:10:00	SHU4545S	51106
111	2020-07-25	6:00:00	6:55:00	SZP1969R	90672
111	2020-08-08	20:53:00	21:45:00	SZP1969R	58059
111	2020-08-11	5:45:00	7:25:00	SHG2119L	16661
111	2020-08-14	13:20:00	14:14:00	SHA9303J	3685
111	2020-08-22	15:43:00	16:40:00	SHJ3284C	33969
111	2020-10-11	14:20:00	15:15:00	SHE1541L	17245
111	2020-10-18	11:16:00	12:28:00	SHJ3284C	33969
111	2020-11-03	13:34:00	14:27:57	SHJ3284C	10791
111	2020-11-03	22:39:00	23:38:00	SHA9303J	3685
111	2020-11-10	14:30:00	15:45:00	SHK7237L	61692
111	2020-11-11	19:40:00	20:33:00	SKT3928G	10791
111	2020-12-03	13:54:00	14:50:00	SHJ3284C	33969
111	2020-12-26	6:00:00	6:54:00	SHK7237L	61692
111	2021-02-01	11:16:00	12:15:00	SZP1969R	97183
111	2021-03-29	13:34:00	14:27:57	SZP1969R	75113
111	2021-04-07	6:05:10	7:20:00	SNH3828R	70779
124	2019-01-13	20:39:00	21:24:00	SNU2843G	25114
124	2019-02-02	22:24:00	23:33:00	SHV4205K	38320
124	2019-02-16	5:30:00	6:40:00	SHM7652R	84844
124	2019-02-28	10:17:00	11:29:00	SHV4205K	38320
124	2019-04-11	10:30:00	11:55:00	SHA9303J	80822
124	2019-06-09	18:34:00	19:50:00	SHK7237L	53198
124	2019-07-06	16:10:00	17:07:00	SNA8932Y	83410
124	2019-08-06	7:45:00	8:45:00	SNU2843G	73407
124	2019-11-04	10:55:00	11:42:00	SNU2843G	48389
124	2020-01-05	13:26:00	14:13:00	SNU2843G	25114
124	2020-01-10	22:24:00	23:34:00	SHK7237L	38320
124	2020-03-07	17:59:00	18:57:00	SNH3828R	63917
124	2020-07-05	16:46:00	17:33:00	SNU2843G	48389
124	2020-07-06	17:59:00	18:53:00	SNU2843G	83410
124	2020-07-12	19:25:00	20:40:00	SHM7652R	7881
124	2020-10-31	14:11:00	15:08:00	SNU2843G	73407
124	2020-12-01	19:35:00	20:37:00	SNU2843G	73407
124	2021-04-06	8:30:00	9:45:00	SHD5760D	84466
124	2021-04-12	15:52:00	16:49:00	SNH3828R	63917
124	2021-09-11	11:25:00	13:52:00	SHT4759G	29545
124	2021-09-30	11:15:00	12:27:00	SHM7652R	38320
124	2021-11-09	12:18:00	13:31:00	SHT2921G	44241
124	2021-12-20	11:36:00	12:33:00	SNA8932Y	83410
128	2019-04-08	9:29:00	10:30:00	SHL3289E	17094
128	2019-04-08	13:20:00	14:14:00	SHL3289E	17094
128	2019-04-08	16:47:00	17:26:00	SHL3289E	17094
128	2019-05-07	15:41:00	16:30:00	SHM4949R	93165
128	2019-07-15	12:31:00	13:20:00	SHE1541L	34371
128	2019-09-09	20:40:00	21:40:00	SHE1541L	35433
128	2019-09-10	5:10:00	6:25:00	SHG2119L	13308
128	2019-10-09	5:30:00	6:40:00	SHR3920T	32523
128	2019-11-22	21:54:00	22:48:00	SHE1541L	35433
128	2020-01-20	11:33:00	12:23:00	SZW4511Y	75113
128	2020-09-10	14:30:00	15:45:00	SHL3289E	80156
128	2020-09-11	7:12:00	8:02:00	SHE1541L	7144
128	2020-09-12	19:25:00	20:40:00	SHR3920T	32523
128	2020-10-14	13:15:00	14:05:00	SZY7625L	97183
128	2020-12-09	19:15:00	20:25:00	SHG2119L	17372
128	2021-02-17	6:00:00	6:54:00	SHR3920T	81244
128	2021-03-21	14:30:00	15:45:00	SHR3920T	21233
128	2021-05-30	12:31:00	13:20:00	SHM4949R	93165
128	2021-07-12	11:12:00	12:01:00	SHM4949R	93165
128	2021-08-24	13:20:00	14:14:00	SHR3920T	21233
128	2021-09-14	15:44:00	16:33:00	SHO4779M	75113
128	2021-10-20	6:00:00	6:54:00	SHL3289E	32523
128	2021-12-30	22:32:00	23:19:00	SHO4779M	75113
162	2019-01-25	16:56:00	17:46:00	SHS5259Y	55727
162	2019-02-15	5:30:00	6:22:00	SMT4394E	38749
162	2019-03-17	22:40:00	23:30:00	SKD3840T	36405
162	2019-05-14	14:24:00	15:18:00	SKD3840T	44914
162	2019-05-22	11:24:00	12:19:00	SKD3840T	44914
162	2019-06-14	15:17:00	16:05:00	SKD3840T	36405
162	2019-07-10	10:35:00	12:25:00	SHF2329E	92356
162	2019-08-24	5:30:00	6:20:00	SHS5259Y	50013
162	2019-09-08	19:35:00	20:37:00	SMT4394E	38749
162	2019-10-07	11:44:00	12:34:00	SHA9303J	7881
162	2020-02-03	12:34:00	13:42:00	SMT4394E	38749
162	2020-07-24	17:30:00	18:22:00	SKD3840T	44914
162	2020-08-09	17:05:00	18:38:00	SHG3849R	15175
162	2020-08-09	17:35:00	19:05:00	SHI2052G	14850
162	2020-09-07	12:28:00	13:20:00	SHY8438T	66173
162	2020-09-08	17:56:00	18:46:00	SJR3289R	29453
162	2020-09-15	18:19:00	19:23:00	SKD3840T	44914
162	2020-10-17	15:41:00	16:30:00	SKD3840T	36405
162	2020-12-22	11:53:00	13:02:00	SJR3289R	29453
162	2020-12-23	17:56:00	18:46:00	SHZ1940F	69437
162	2021-01-05	18:00:00	18:56:00	SZY5893T	50013
162	2021-02-11	6:00:00	6:55:00	SJR3289R	36405
162	2021-04-06	10:35:00	11:20:00	SHD5760D	17372
162	2021-04-06	13:22:00	14:08:00	SHD5760D	17372
162	2021-04-06	20:34:00	21:29:00	SHD5760D	17372
162	2021-10-08	5:30:00	7:15:00	SJR3289R	91263
162	2021-10-29	13:23:00	14:13:00	SHS5259Y	50013
162	2021-11-02	5:45:00	6:55:00	SJR3289R	51106
167	2019-01-13	15:49:00	16:46:00	SHN8944O	91014
167	2019-01-27	10:27:00	11:17:00	SHU6160Q	49690
167	2019-03-10	12:05:00	13:20:00	SHA8948F	80822
167	2019-05-09	12:31:00	13:20:00	SHR8293A	76973
167	2019-06-11	13:45:00	15:20:00	SHD5760D	3703
167	2019-08-19	5:30:00	6:24:00	SHQ8495N	90754
167	2019-09-13	15:11:00	16:05:00	SHM8125L	34543
167	2019-10-03	12:39:00	13:34:00	SHM8125L	61692
167	2019-11-06	13:54:00	14:50:00	SHQ8495N	90754
167	2020-02-12	12:31:00	13:20:00	SHR8293A	76973
167	2020-03-24	14:24:00	15:18:00	SHM8125L	34543
167	2020-07-25	11:12:00	12:01:00	SHB9088W	13761
167	2020-09-14	15:41:00	16:30:00	SHA8948F	91014
167	2020-09-16	19:40:00	20:33:00	SHQ8495N	56925
167	2020-12-02	11:45:00	12:50:00	SHG2119L	17245
167	2020-12-07	20:40:00	21:40:00	SHR8293A	88088
167	2020-12-19	15:49:00	16:46:00	SZW4511Y	16661
167	2021-05-04	11:12:00	12:01:00	SHR8293A	76973
167	2021-05-14	7:12:00	8:02:00	SHR8293A	88088
167	2021-07-28	15:44:00	16:33:00	SHA8948F	91014
167	2021-09-10	22:32:00	23:19:00	SHA8948F	91014
167	2021-09-16	13:15:00	14:05:00	SHN8944O	91014
167	2021-10-09	22:35:00	23:59:00	SHY8438T	36405
167	2021-10-11	11:33:00	12:23:00	SHR8293A	76973
171	2019-04-29	5:30:00	6:40:00	SHM4706J	70289
171	2019-05-25	10:59:00	12:11:00	SHE7395K	51106
171	2019-05-30	22:28:00	23:35:00	SKB9430T	86712
171	2019-06-08	22:28:00	23:35:00	SHM4706J	70289
171	2019-09-22	17:20:00	19:10:00	SNG3829E	80784
171	2019-09-23	12:31:00	13:20:00	SNG3829E	80784
171	2019-11-07	20:29:00	21:41:00	SHQ9832B	97749
171	2019-11-07	22:29:00	23:32:00	SHM8125L	17245
171	2020-03-21	19:54:00	21:42:00	SKB9430T	97749
171	2020-04-10	14:24:00	16:07:00	SHQ9832B	97749
171	2020-07-06	20:22:00	22:02:00	SKB9430T	86712
171	2020-07-24	20:29:00	21:41:00	SHM9811G	82726
171	2020-09-20	22:32:00	23:10:00	SKB9430T	35013
171	2020-10-04	14:05:00	14:45:00	SHG2119L	17094
171	2021-01-04	13:25:00	14:50:00	SHL6251R	92356
171	2021-02-21	5:30:00	6:40:00	SHM9811G	69437
171	2021-03-12	7:40:00	9:15:00	SKB9430T	86712
171	2021-04-01	13:45:00	14:35:09	SHQ9832B	97749
171	2021-04-30	10:59:00	12:11:00	SHQ9832B	35013
171	2021-10-11	22:45:00	23:48:00	SNG3829E	80784
171	2021-10-15	11:16:00	12:28:00	SHM9811G	66173
171	2021-10-25	16:16:00	17:31:00	SHQ9832B	35013
171	2021-11-30	13:48:00	14:58:00	SHM4706J	70289
171	2021-12-03	7:12:00	8:20:00	SLE3754H	38749
174	2019-03-24	19:51:00	20:44:00	SNW9320C	36111
174	2019-04-27	7:29:00	9:55:00	SZI3294H	6720
174	2019-04-27	13:34:00	15:57:00	SZI3294H	6720
174	2019-04-27	19:57:00	21:38:00	SZI3294H	6720
174	2019-05-11	21:20:00	23:08:00	SZI3294H	70289
174	2019-05-17	11:47:00	13:38:00	SNJ4848D	79579
174	2019-05-31	21:20:00	23:08:00	SZI3294H	70289
174	2019-07-17	14:16:00	15:56:00	SHM5991A	7144
174	2019-08-20	6:00:00	7:04:00	SNW9320C	36111
174	2020-02-09	15:25:00	17:25:00	SZY7625L	13761
174	2020-04-30	12:31:00	13:20:00	SHX8198C	59153
174	2020-07-29	13:23:00	14:13:00	SZJ4589D	55871
174	2020-09-02	16:35:00	17:48:00	SNJ4848D	59153
174	2020-09-25	19:48:00	20:39:00	SNW9320C	36111
174	2020-09-29	21:20:00	23:08:00	SNJ4848D	79579
174	2020-10-14	14:24:00	15:17:00	SHX8198C	79579
174	2020-10-25	19:54:00	21:42:00	SZI3294H	70289
174	2020-10-27	22:29:00	23:32:00	SNJ4848D	59153
174	2020-11-12	17:20:00	19:10:00	SHM7652R	56925
174	2020-11-16	14:24:00	16:07:00	SHM5991A	7144
174	2021-01-31	5:30:00	7:15:00	SZI3294H	13761
174	2021-04-30	10:30:00	11:37:00	SZJ4589D	55871
174	2021-05-10	20:05:00	21:22:00	SHM5991A	25114
174	2021-06-16	16:08:00	16:59:00	SZJ4589D	55871
174	2021-10-05	20:39:00	21:24:00	SNW9320C	79579
175	2019-01-30	15:55:00	16:57:00	SZR9132L	22875
175	2019-01-31	15:55:00	16:57:00	SZR9132L	85588
175	2019-03-12	6:00:00	6:55:00	SHN7682J	67486
175	2019-08-02	22:45:00	23:48:00	SZR9132L	22916
175	2019-08-21	13:45:00	14:39:00	SHA8254Z	66775
175	2019-10-27	13:16:00	14:29:00	SHN7682J	22916
175	2019-10-29	19:25:00	20:20:00	SHE4894C	59153
175	2019-10-30	19:25:00	20:20:00	SHE4894C	22916
175	2019-11-15	13:40:00	14:35:00	SHR5465B	61692
175	2019-12-24	12:19:00	13:09:00	SHY8438T	44037
175	2020-01-12	18:40:00	20:28:00	SHN7682J	49538
175	2020-01-13	13:45:00	14:39:00	SZR9132L	91014
175	2020-01-14	13:45:00	14:39:00	SZR9132L	85588
175	2020-01-28	5:30:00	6:45:00	SZR9132L	85588
175	2020-02-26	16:16:00	17:31:00	SZR9132L	85588
175	2020-02-28	19:25:00	20:20:00	SHR5465B	61692
175	2020-03-12	19:10:00	19:55:00	SHF2329E	14850
175	2020-04-07	11:25:00	12:55:00	SHG2119L	31844
175	2020-05-06	19:51:00	20:44:00	SHN7682J	49538
175	2020-06-14	16:35:00	17:48:00	SHE4894C	22916
175	2020-06-16	20:55:00	22:05:00	SZR9132L	22916
175	2020-08-02	22:28:00	23:51:00	SHN7682J	22916
175	2020-09-25	15:55:00	16:57:00	SHB4928Z	16661
175	2020-10-23	21:16:00	23:04:00	SHN7682J	49538
175	2020-12-03	19:19:00	20:12:00	SHN7682J	67486
175	2020-12-12	5:30:00	7:10:00	SHN7682J	67486
175	2020-12-31	12:26:00	13:38:00	SZR9132L	85588
175	2021-02-28	19:51:00	20:44:00	SHZ8927D	34371
175	2021-03-21	14:55:00	16:08:00	SZR9132L	85588
175	2021-04-23	12:19:00	13:09:00	SHN7682J	49538
175	2021-05-06	12:14:00	13:15:00	SNT5284E	80156
175	2021-05-06	17:18:00	18:20:00	SNT5284E	80156
175	2021-05-14	13:40:00	14:35:00	SZR9132L	88088
175	2021-05-15	13:40:00	14:35:00	SZR9132L	22916
175	2021-06-14	6:00:00	6:55:00	SHZ8927D	34371
175	2021-08-10	14:25:00	15:25:00	SHM5991A	29453
175	2021-09-01	16:17:00	17:57:00	SHE4894C	22916
175	2021-09-02	19:19:00	20:12:00	SHZ8927D	14850
175	2021-09-08	20:34:00	21:24:00	SHN7682J	17877
175	2021-10-08	14:41:00	15:33:00	SHN7682J	22916
175	2021-12-16	14:41:00	15:33:00	SHZ8927D	51106
190	2019-02-24	5:50:00	6:43:00	SHT3660M	81807
190	2019-07-05	5:50:00	6:45:00	SHV4205K	97183
190	2019-07-17	14:24:00	15:17:00	SHV4205K	97183
190	2019-11-02	20:34:00	21:24:00	SHV4205K	17245
190	2019-11-09	16:35:00	17:48:00	SHI2052G	81807
190	2020-01-31	12:39:00	13:33:00	SHI2052G	3703
190	2020-03-30	22:28:00	23:21:00	SHV4205K	97183
190	2020-03-31	14:55:00	16:08:00	SHT3660M	81807
190	2020-04-02	5:30:00	6:45:00	SHV4205K	97183
190	2020-05-06	18:40:00	20:28:00	SHY1240J	50026
190	2020-10-08	21:16:00	23:04:00	SHV4205K	97183
190	2020-10-31	13:16:00	14:29:00	SHI2052G	3703
190	2021-02-04	14:21:00	15:11:00	SHY1240J	50026
190	2021-03-14	20:55:00	22:05:00	SZP1969R	72046
190	2021-06-27	16:17:00	17:57:00	SHV4205K	69755
190	2021-07-19	21:35:00	22:32:00	SHV4205K	97183
190	2021-07-23	12:35:00	13:28:00	SHV4205K	69755
190	2021-07-25	21:10:00	22:03:00	SZP1969R	72046
190	2021-10-13	5:30:00	7:10:00	SHV4205K	17245
190	2021-12-02	13:16:00	14:29:00	SHT3660M	97183
502	2019-10-07	12:35:00	13:28:00	SHS5259Y	65448
502	2019-10-27	13:29:00	14:34:00	SHQ8495N	53198
502	2019-11-17	16:10:00	17:07:00	SHS5259Y	65448
502	2019-11-19	5:50:00	6:45:00	SHA9303J	23181
502	2020-03-09	18:15:00	19:19:00	SHA9303J	65448
502	2020-04-04	14:21:00	15:11:00	SHA9303J	65448
502	2020-04-15	16:46:00	17:33:00	SHQ8495N	5653
502	2020-08-13	20:34:00	21:24:00	SHA9303J	23181
502	2020-11-21	5:55:00	6:59:00	SHA9303J	23181
502	2020-12-29	11:36:00	12:33:00	SHS5259Y	65448
502	2020-12-30	22:00:00	23:03:00	SHS5259Y	65448
502	2021-04-06	14:15:10	15:05:00	SHB9088W	13761
502	2021-04-26	21:35:00	22:32:00	SHS5259Y	65448
502	2021-05-05	10:37:00	11:40:00	SHS5259Y	5653
502	2021-05-18	7:45:00	8:45:00	SHV2399U	53198
502	2021-05-23	17:59:00	18:53:00	SHA9303J	23181
502	2021-06-29	8:31:00	9:35:00	SHA9303J	65448
502	2021-08-16	11:16:00	12:21:00	SHV2399U	72046
502	2021-08-20	19:35:00	20:37:00	SHA9303J	72046
502	2021-10-31	14:11:00	15:08:00	SHA9303J	23181
502	2021-11-10	21:51:00	22:56:00	SHA9303J	23181
518	2019-01-30	6:00:00	7:00:00	SHA8254Z	36948
518	2019-02-14	19:53:00	20:43:00	SHA8254Z	5653
518	2019-05-12	20:59:00	21:58:00	SHZ7036F	36948
518	2019-05-22	16:08:00	16:59:00	SHA8254Z	36948
518	2019-05-25	16:56:00	17:47:00	SHA8254Z	36948
518	2019-07-21	22:00:00	23:05:00	SZY7625L	81807
518	2019-09-08	11:53:00	13:02:00	SHA8254Z	5653
518	2019-09-08	22:52:00	23:46:00	SHZ7036F	36948
518	2019-10-14	17:12:00	18:12:00	SHR5663L	15175
518	2019-12-04	19:48:00	20:39:00	SZY7625L	81807
518	2020-01-22	10:26:00	11:30:00	SZW4511Y	93165
518	2020-01-31	12:51:00	13:41:00	SZW4511Y	93165
518	2020-03-22	14:13:00	15:06:00	SHA8254Z	36948
518	2020-06-16	16:33:00	17:37:00	SZY7625L	81807
518	2020-06-16	21:40:00	22:46:00	SHA8254Z	36948
518	2020-09-01	6:00:00	7:04:00	SHA8254Z	36948
518	2020-09-20	12:34:00	13:42:00	SHZ7036F	36948
518	2020-09-24	13:45:00	14:35:09	SHR5663L	15175
518	2021-04-01	18:19:00	19:23:00	SHA8254Z	5653
518	2021-06-09	12:51:00	13:41:00	SHR5663L	15175
587	2019-01-04	7:40:00	9:21:00	SHK7237L	70289
587	2019-05-16	10:30:00	11:37:00	SHU4545S	36662
587	2019-06-24	15:58:00	17:32:00	SHU4545S	36662
587	2019-09-25	22:00:00	23:05:00	SHK7237L	70289
587	2019-10-13	16:43:00	18:18:00	SHK7237L	44037
587	2019-12-05	22:28:00	23:51:00	SHI2052G	14850
587	2020-01-12	19:29:00	20:59:00	SHK7237L	73185
587	2020-02-13	13:45:00	14:35:09	SHK7237L	70289
587	2020-02-26	16:56:00	17:47:00	SHK7237L	70289
587	2020-05-23	12:34:00	13:42:00	SHK7237L	73185
587	2020-06-05	6:10:00	7:05:00	SHK7237L	70289
587	2020-06-27	22:52:00	23:46:00	SHU4545S	36662
587	2020-12-05	19:48:00	20:39:00	SHE1541L	64826
587	2021-03-06	11:22:00	12:30:00	SHI2052G	14850
587	2021-03-07	16:08:00	16:59:00	SHK7237L	44037
587	2021-03-22	13:14:00	14:05:00	SHK7237L	73185
587	2021-03-25	7:40:00	9:15:00	SHE1541L	64826
587	2021-03-28	11:46:00	13:24:00	SHK7237L	70289
587	2021-06-15	19:53:00	20:43:00	SHI2052G	14850
587	2021-06-19	9:24:00	10:49:00	SNH3828R	81244
587	2021-06-19	13:01:00	14:21:00	SNH3828R	81244
587	2021-10-22	13:54:00	15:02:00	SHK7237L	44037
590	2019-01-06	13:26:00	14:13:00	SHV2399U	15175
590	2019-01-21	7:45:00	8:30:00	SZY1607S	5653
590	2019-02-03	20:46:00	21:36:00	SHT3660M	15175
590	2019-04-13	16:17:00	17:58:00	SHV2399U	50013
590	2019-06-19	10:55:00	11:42:00	SHV2399U	15175
590	2019-08-11	18:31:00	20:19:00	SZK4221V	50013
590	2019-09-01	19:28:00	20:18:00	SHT3660M	3685
590	2019-11-09	12:34:00	13:42:00	SHT3660M	3685
590	2020-03-02	15:17:00	16:05:00	SZY1607S	50026
590	2020-06-17	7:40:00	8:28:00	SHT3660M	3685
590	2020-06-21	22:32:00	23:10:00	SHV2399U	15175
590	2020-08-02	17:23:00	19:10:00	SZY1607S	50026
