CardID	balance	expirydate	type	oldCardID
237	156.82	2023-06-08	Senior	NULL
238	91.57	2025-04-30	Adult	NULL
239	14.58	2023-02-11	Adult	NULL
240	18.29	2024-09-27	Senior	NULL
241	91.29	2022-11-29	Adult	NULL
242	61.9	2023-07-18	Adult	NULL
243	143.45	2022-12-02	Adult	NULL
244	138.71	2024-06-13	Adult	NULL
245	70.7	2025-07-22	Adult	NULL
246	106.12	2023-01-18	Adult	NULL
247	66.53	2023-11-11	Adult	NULL
248	26.67	2023-06-03	Senior	NULL
249	47.34	2022-11-07	Senior	NULL
250	86.98	2024-11-07	Adult	NULL
251	158.98	2024-06-04	Senior	NULL
252	153.58	2023-01-30	Adult	NULL
253	140.22	2024-06-03	Adult	NULL
254	0	2022-09-25	Adult	NULL
255	61.04	2023-11-19	Adult	NULL
256	175.8	2023-12-28	Senior	NULL
257	128.22	2025-01-14	Adult	NULL
258	144.78	2023-05-11	Adult	NULL
259	191.74	2024-11-14	Adult	NULL
260	95.09	2025-09-12	Adult	NULL
261	0	2022-08-16	Adult	NULL
262	41.39	2024-04-25	Adult	NULL
263	46.85	2024-12-03	Adult	NULL
264	189.34	2023-07-16	Senior	NULL
265	0	2023-08-26	Adult	NULL
266	64.64	2022-10-28	Senior	NULL
267	172.31	2025-06-04	Adult	NULL
268	109.15	2024-04-10	Senior	NULL
269	36.39	2025-03-08	Student	NULL
270	21.46	2022-08-05	Senior	NULL
271	6.75	2024-06-26	Adult	NULL
272	8.41	2023-10-23	Adult	NULL
273	145.29	2022-10-07	Adult	NULL
274	174.81	2025-08-11	Adult	NULL
275	121.25	2025-06-03	Adult	NULL
276	157.61	2024-05-27	Adult	NULL
277	53.08	2024-03-02	Adult	NULL
278	64.52	2024-02-01	Adult	NULL
279	113.85	2024-02-14	Senior	NULL
280	77.84	2025-01-11	Adult	254
281	30.53	2025-05-13	Senior	NULL
282	0	2024-05-18	Adult	NULL
283	30.21	2023-09-13	Student	NULL
284	112.18	2024-11-13	Senior	NULL
285	33.97	2022-12-30	Adult	NULL
286	51.15	2024-11-27	Adult	NULL
287	168.95	2025-03-24	Adult	NULL
288	184.86	2024-01-20	Adult	261
289	156.19	2024-05-25	Senior	NULL
290	0	2024-03-08	Senior	NULL
291	93.86	2025-06-02	Adult	224
292	4.47	2025-04-22	Adult	NULL
293	116.67	2024-04-08	Adult	NULL
294	67.04	2022-10-09	Adult	NULL
295	99.46	2025-10-13	Adult	NULL
296	102	2025-08-12	Senior	NULL
297	126.38	2025-02-20	Student	NULL
298	58.43	2023-08-31	Senior	NULL
299	60.96	2024-03-10	Adult	NULL
300	133.39	2025-06-20	Adult	NULL
301	136.11	2025-11-29	Adult	NULL
302	65.52	2024-02-24	Adult	NULL
303	42.82	2022-10-04	Senior	NULL
304	198.64	2023-05-14	Student	NULL
305	139.22	2025-10-20	Senior	NULL
306	143.18	2024-01-27	Adult	NULL
307	96.05	2023-09-06	Senior	NULL
308	68.55	2025-10-23	Senior	NULL
309	18.05	2022-08-11	Student	NULL
310	16.6	2023-02-16	Senior	NULL
311	13.99	2024-10-17	Adult	NULL
312	83.72	2023-04-20	Senior	NULL
313	124.75	2025-04-05	Adult	NULL
314	128.26	2024-07-30	Adult	NULL
315	83.41	2025-04-16	Senior	NULL
316	166.2	2025-01-27	Senior	NULL
317	78.7	2023-04-09	Senior	NULL
318	78.46	2025-12-26	Adult	NULL
319	0	2024-07-04	Senior	NULL
320	130.77	2024-01-26	Adult	NULL
321	34.54	2024-06-16	Adult	NULL
322	193.22	2022-08-03	Adult	NULL
323	156.35	2025-01-09	Adult	NULL
324	75.53	2024-08-26	Adult	265
325	165.14	2025-11-27	Senior	NULL
326	68.47	2023-01-21	Student	NULL
327	0	2022-09-05	Adult	NULL
328	47.21	2025-12-29	Senior	NULL
329	21.76	2025-12-10	Senior	NULL
330	156.56	2022-09-15	Adult	NULL
331	183.35	2023-06-02	Senior	NULL
332	0	2023-05-22	Adult	NULL
333	163.72	2025-03-27	Adult	NULL
334	112.02	2024-04-14	Student	NULL
335	197.61	2025-10-23	Student	NULL
336	79.23	2024-08-07	Student	NULL
337	0	2023-09-26	Adult	NULL
338	67.38	2025-01-27	Student	NULL
339	19.78	2025-09-14	Student	NULL
340	142.24	2025-08-13	Adult	282
341	184.68	2022-09-06	Senior	NULL
342	130.01	2022-10-23	Senior	NULL
343	89.23	2024-12-05	Adult	NULL
344	146.99	2025-08-04	Senior	NULL
345	87	2025-12-09	Adult	NULL
346	35.04	2025-12-03	Senior	NULL
347	159.85	2025-11-21	Student	NULL
348	70.36	2024-12-10	Adult	NULL
349	111.29	2023-08-31	Adult	NULL
350	185.39	2024-12-16	Adult	NULL
351	42.92	2025-04-13	Adult	NULL
352	0	2023-12-31	Adult	NULL
353	142.27	2023-09-20	Student	NULL
354	7.24	2024-01-10	Adult	NULL
355	16.35	2023-03-08	Adult	NULL
356	51.32	2023-02-05	Senior	NULL
357	79.64	2024-04-14	Senior	NULL
358	25.83	2025-01-13	Adult	NULL
359	59.37	2022-10-04	Adult	NULL
360	8.02	2023-06-20	Senior	NULL
361	152.54	2023-12-31	Student	NULL
362	153.74	2024-09-06	Adult	NULL
363	95.66	2022-07-20	Adult	NULL
364	169.41	2024-04-26	Senior	NULL
365	75.63	2025-09-24	Student	NULL
366	0	2024-03-04	Adult	NULL
367	12.63	2024-09-17	Adult	NULL
368	68.62	2025-05-26	Adult	NULL
369	164.92	2024-05-10	Adult	NULL
370	133.88	2023-03-27	Student	NULL
371	52.91	2025-12-02	Senior	290
372	7.94	2025-08-31	Adult	NULL
373	155.16	2024-07-23	Adult	NULL
374	82.26	2024-12-31	Adult	NULL
375	86.96	2024-12-14	Senior	NULL
376	0	2023-06-26	Adult	NULL
377	94.41	2024-09-05	Adult	327
378	193.88	2024-06-18	Senior	NULL
379	80.99	2025-04-11	Adult	366
380	51.46	2025-02-07	Student	NULL
381	52.75	2024-11-30	Senior	NULL
382	162.72	2025-10-12	Adult	NULL
383	71.51	2023-03-29	Senior	NULL
384	193.82	2025-12-14	Senior	NULL
385	40.18	2025-01-15	Adult	NULL
386	175.4	2023-05-20	Student	NULL
387	51.22	2022-12-15	Senior	NULL
388	152.52	2023-02-20	Adult	NULL
389	30.61	2025-11-29	Student	NULL
390	28.4	2023-06-25	Adult	NULL
391	195.33	2024-12-02	Senior	NULL
392	70.77	2024-06-28	Senior	NULL
393	7.7	2025-01-01	Student	NULL
394	175.58	2024-04-09	Adult	376
395	156.49	2024-04-27	Adult	NULL
396	20.35	2025-12-14	Adult	NULL
397	113.47	2024-09-27	Adult	NULL
398	152.63	2022-07-21	Senior	NULL
399	63.74	2022-10-19	Senior	NULL
400	44.31	2025-10-06	Senior	319
401	0	2022-10-29	Adult	NULL
402	65.54	2023-05-14	Senior	NULL
403	171.29	2024-02-08	Adult	NULL
404	190.6	2025-04-19	Adult	NULL
405	50.41	2024-07-28	Student	NULL
406	0	2024-07-17	Senior	NULL
407	160.29	2023-12-18	Senior	NULL
408	26.96	2023-10-18	Adult	NULL
409	117.68	2022-12-20	Adult	NULL
410	93.01	2022-07-15	Adult	NULL
411	174.46	2023-06-02	Adult	NULL
412	124.03	2023-04-16	Adult	NULL
413	156.19	2024-01-03	Senior	NULL
414	110.49	2024-06-09	Adult	352
415	0	2022-08-16	Adult	NULL
416	125.53	2023-03-12	Adult	NULL
417	4.53	2022-08-06	Adult	NULL
418	136.55	2025-04-21	Adult	NULL
419	118.4	2024-08-30	Student	NULL
420	100.75	2024-08-13	Adult	332
421	35.23	2024-07-19	Adult	NULL
422	188.65	2024-05-17	Adult	NULL
423	0	2022-09-13	Senior	NULL
424	124.1	2025-11-13	Adult	NULL
425	189.92	2025-12-15	Senior	NULL
426	109.58	2025-12-19	Student	NULL
427	160.7	2025-07-25	Senior	NULL
428	77.02	2023-11-25	Adult	NULL
429	8.88	2024-12-31	Adult	NULL
430	189.52	2025-04-13	Student	NULL
431	58.77	2025-03-02	Senior	NULL
432	194.99	2022-12-24	Adult	NULL
433	194.49	2023-06-17	Adult	NULL
434	133.57	2025-06-09	Senior	NULL
435	53.95	2023-09-05	Student	NULL
436	130.39	2024-10-09	Adult	NULL
437	167.58	2022-09-02	Student	NULL
438	58.6	2022-09-06	Adult	NULL
439	29.04	2023-06-22	Adult	NULL
440	136.37	2025-05-10	Adult	337
441	147.34	2025-11-28	Adult	401
442	99.48	2023-08-19	Adult	NULL
443	28.14	2025-02-12	Senior	NULL
444	38.85	2023-06-06	Senior	NULL
445	103.99	2025-02-11	Student	NULL
446	11.29	2024-06-17	Senior	NULL
447	157.3	2024-04-30	Adult	NULL
448	153.95	2023-10-01	Senior	NULL
449	158.72	2024-11-17	Adult	NULL
450	173.89	2025-08-01	Adult	NULL
451	140.73	2023-01-05	Senior	NULL
452	21.48	2023-02-15	Student	NULL
453	0	2024-06-21	Adult	NULL
454	41.45	2024-10-25	Senior	NULL
455	148.38	2025-03-09	Senior	406
456	23.63	2022-08-12	Senior	NULL
457	69.6	2022-09-13	Senior	NULL
458	98.17	2023-10-04	Student	NULL
459	2.3	2025-07-01	Student	NULL
460	71.08	2025-04-30	Adult	NULL
461	0	2025-02-13	Adult	NULL
462	84.6	2025-10-27	Student	NULL
463	126.98	2025-10-18	Adult	461
464	168.71	2022-09-17	Senior	NULL
465	140.9	2023-04-09	Adult	NULL
466	186.73	2025-03-27	Adult	NULL
467	163.57	2024-02-16	Adult	415
468	55.36	2025-07-26	Student	NULL
469	170.99	2024-04-15	Adult	NULL
470	138.09	2023-03-12	Student	NULL
471	158.73	2024-03-08	Senior	NULL
472	115.46	2025-02-06	Senior	423
473	150.92	2025-05-07	Adult	NULL
474	33.22	2023-05-16	Student	NULL
475	180.35	2022-07-29	Adult	NULL
476	188.37	2023-02-19	Adult	NULL
477	0.79	2024-09-23	Adult	NULL
478	186.05	2024-03-19	Adult	NULL
479	1.19	2024-05-27	Adult	NULL
480	102.07	2025-06-02	Adult	NULL
481	192.24	2024-02-27	Senior	NULL
482	0	2022-08-13	Senior	NULL
483	32.15	2024-05-20	Senior	NULL
484	101.73	2025-07-05	Senior	NULL
485	149.08	2024-01-01	Adult	NULL
486	193.68	2023-11-20	Senior	NULL
487	123.76	2023-06-12	Student	NULL
488	174.43	2025-02-28	Adult	NULL
489	151.58	2025-09-27	Adult	NULL
490	88.73	2023-09-09	Adult	NULL
491	34.17	2023-07-21	Adult	NULL
492	93.53	2022-08-04	Adult	NULL
493	15.4	2023-02-05	Student	NULL
494	57.92	2025-05-15	Senior	NULL
495	0	2025-07-21	Adult	NULL
496	47.32	2025-11-04	Adult	453
497	153.72	2024-02-10	Adult	NULL
498	181.38	2025-04-03	Senior	482
499	93.18	2024-10-27	Adult	NULL
500	57.39	2025-05-04	Adult	NULL
