CardID	date	usePhone	boardstop	SID	alightstop	boardTime	alightTime
16	2019-06-28	1	19031	14	12031	21:25:00	21:35:00
16	2019-09-24	1	1039	7	13021	18:54:00	19:01:00
16	2020-11-02	0	84009	598	5029	8:13:00	8:45:00
16	2021-07-16	1	17009	36	83059	14:52:00	15:06:00
17	2020-09-20	1	21661	171	50229	22:37:00	22:46:00
17	2021-02-04	1	50211	190	50991	14:21:00	14:39:00
18	2020-03-11	0	8121	111	81189	13:42:00	13:52:00
18	2021-02-05	0	83151	16	NULL	16:07:00	NULL
18	2021-05-15	0	81189	36	83059	20:14:00	20:43:00
19	2019-01-08	1	53011	850	53231	23:33:00	23:48:00
19	2019-12-02	0	8031	36	52171	20:15:00	20:21:00
19	2020-03-03	1	91099	16	83151	11:10:00	11:22:00
19	2021-06-14	1	81131	175	10101	6:11:00	6:33:00
20	2019-01-27	0	13141	167	4222	10:38:00	10:39:00
20	2020-04-09	1	4121	16	13011	14:45:00	14:52:00
20	2021-04-30	0	5012	77	13011	6:45:00	6:51:00
20	2021-08-27	0	40129	16	83059	12:03:00	12:06:00
21	2021-08-27	0	19089	16	13011	11:39:00	12:19:00
22	2019-02-24	1	50991	190	82061	6:08:00	6:20:00
22	2020-05-06	1	77029	190	82061	18:45:00	18:47:00
22	2020-06-17	1	5022	590	92099	7:58:00	8:04:00
22	2020-12-26	1	94059	111	93099	6:20:00	6:24:00
23	2019-02-21	0	83059	16	13011	0:08:00	0:30:00
23	2020-05-01	1	4223	106	52451	6:38:00	6:49:00
23	2020-07-24	1	8031	36	3221	17:23:00	17:26:00
23	2021-02-05	0	13011	16	1039	16:40:00	16:49:00
23	2021-03-22	1	19091	590	92099	14:51:00	15:03:00
23	2021-05-14	1	21661	77	85091	13:07:00	13:22:00
23	2021-06-06	1	54371	598	5029	12:16:00	12:33:00
24	2019-11-02	0	11261	190	4223	20:58:00	21:10:00
24	2020-07-03	0	92159	111	4222	12:23:00	13:10:00
24	2021-02-05	0	91099	16	5029	16:19:00	16:40:00
24	2021-09-13	0	91099	16	4121	12:43:00	12:53:00
25	2019-07-05	1	82061	190	5022	6:20:00	6:45:00
25	2020-04-12	0	40121	106	82061	16:57:00	17:58:00
25	2020-05-16	1	54181	106	82061	17:33:00	19:10:00
25	2020-12-19	1	52171	77	92159	14:33:00	14:57:00
25	2021-07-23	1	82061	190	5022	13:05:00	13:28:00
25	2021-09-30	1	9059	124	13021	11:57:00	12:09:00
26	2019-04-12	0	81189	36	3221	6:31:00	6:40:00
26	2019-08-11	1	70151	590	92099	18:43:00	18:51:00
26	2019-10-07	1	14051	162	9131	12:58:00	13:20:00
26	2021-01-09	1	19031	14	40011	17:11:00	17:35:00
27	2020-01-12	1	50991	587	21661	20:05:00	20:59:00
27	2021-01-31	1	8031	174	10018	6:35:00	7:15:00
28	2019-07-05	0	4223	190	5022	6:26:00	6:45:00
28	2019-09-01	1	10091	590	17229	20:03:00	20:18:00
28	2021-01-31	1	19089	174	21179	6:09:00	6:22:00
28	2021-07-25	0	12031	190	11261	21:22:00	21:25:00
29	2021-12-16	1	40129	175	3223	15:01:00	15:33:00
30	2019-06-24	0	12031	587	50991	15:58:00	16:37:00
30	2019-09-09	1	52441	128	11201	11:53:00	12:23:00
30	2020-01-31	0	77029	190	11261	12:51:00	13:06:00
30	2020-07-03	0	92159	111	9141	12:23:00	12:43:00
30	2021-09-02	0	40129	175	3223	19:39:00	20:12:00
30	2021-12-16	1	40129	175	10101	15:01:00	15:11:00
31	2019-06-28	1	8031	14	3221	21:05:00	21:15:00
31	2020-04-09	1	40121	16	17009	13:57:00	14:07:00
31	2021-06-26	0	10091	590	17229	21:09:00	21:24:00
32	2021-06-06	1	3221	598	1029	11:44:00	12:00:00
32	2021-09-30	0	9059	124	54181	11:57:00	12:03:00
33	2019-05-09	1	81131	77	13011	12:37:00	13:25:00
33	2019-05-09	0	10291	610	13059	21:26:00	21:33:00
33	2019-11-07	1	50229	171	81189	0:14:00	0:32:00
33	2019-12-24	0	81131	175	40129	12:29:00	12:39:00
34	2019-04-06	0	1039	106	3011	7:55:00	8:15:00
34	2021-02-28	0	10101	175	3223	20:21:00	20:44:00
34	2021-09-30	0	21661	124	3071	11:39:00	11:45:00
35	2020-10-02	0	53209	850	53329	23:36:00	23:41:00
35	2020-12-21	0	4121	16	40129	14:19:00	14:25:00
36	2019-07-09	1	70151	598	50069	16:08:00	16:28:00
37	2020-12-30	0	13011	77	40129	12:44:00	13:02:00
37	2021-05-15	1	19091	36	92159	19:53:00	19:59:00
38	2019-01-06	1	92099	590	17229	13:50:00	14:13:00
38	2019-01-30	1	9059	518	11201	6:16:00	6:32:00
38	2019-04-27	1	10101	174	10018	20:21:00	21:38:00
38	2020-01-31	0	4223	190	5022	13:15:00	13:33:00
38	2020-10-25	0	80219	174	10018	19:54:00	20:13:00
38	2020-11-16	1	19089	174	8031	14:29:00	15:01:00
38	2020-12-30	1	14059	502	8111	10:43:00	11:19:00
38	2021-04-01	1	9059	518	4143	18:37:00	19:04:00
38	2021-05-27	1	4143	7	13021	20:23:00	20:27:00
39	2019-10-27	0	92099	502	21179	11:52:00	12:04:00
39	2020-01-09	0	14049	732	99071	20:31:00	20:36:00
39	2020-03-03	1	91099	16	5029	11:10:00	11:30:00
39	2021-05-05	1	21179	502	NULL	14:17:00	NULL
40	2019-02-02	1	9059	124	54181	23:06:00	23:12:00
40	2019-02-03	1	19091	590	92099	21:00:00	21:14:00
40	2019-10-14	1	13141	518	NULL	17:12:00	NULL
40	2020-02-14	1	10018	598	50069	19:50:00	19:58:00
40	2020-02-14	1	50069	598	5029	20:11:00	20:37:00
40	2020-11-21	1	21609	502	8111	6:07:00	6:37:00
40	2021-04-30	0	81131	77	21661	6:03:00	6:33:00
41	2020-10-25	0	92241	174	8031	20:04:00	21:00:00
41	2021-03-14	0	12031	190	82061	21:09:00	21:18:00
41	2021-07-16	1	92159	36	52171	14:19:00	14:46:00
42	2020-05-01	1	40121	106	10018	6:16:00	6:27:00
42	2020-06-17	0	70151	590	5022	7:40:00	7:58:00
42	2020-10-27	1	10101	174	21179	23:34:00	23:39:00
43	2019-03-04	0	13011	16	1039	6:22:00	6:42:00
43	2019-09-24	1	19089	7	21609	19:07:00	19:25:00
43	2020-01-10	0	11261	124	21661	23:42:00	23:48:00
43	2020-03-03	0	40121	16	21179	10:37:00	10:40:00
43	2021-06-19	1	77019	106	3011	19:01:00	19:51:00
43	2021-12-22	1	3221	36	83059	23:22:00	23:46:00
44	2019-09-01	1	10091	590	17229	20:03:00	20:18:00
44	2020-11-12	1	8031	174	10018	15:16:00	15:56:00
45	2019-01-25	1	8031	162	9131	18:00:00	18:56:00
45	2019-10-14	0	4143	518	50211	17:52:00	18:12:00
45	2020-02-14	0	10018	598	40011	19:47:00	19:55:00
45	2020-03-21	0	21661	171	13141	20:04:00	20:17:00
45	2021-05-06	1	52451	106	82061	23:35:00	23:55:00
46	2019-02-02	0	9059	124	8031	23:06:00	23:33:00
46	2020-02-14	0	80049	598	13211	14:11:00	14:43:00
46	2020-10-02	1	53209	850	53329	23:30:00	23:36:00
47	2019-07-25	1	40121	77	10101	11:00:00	11:06:00
47	2019-11-22	0	21179	128	52441	21:54:00	22:14:00
47	2020-02-14	1	10018	598	1029	14:23:00	14:35:00
47	2020-12-30	1	21421	77	85091	12:20:00	12:41:00
47	2021-05-05	0	14059	502	82109	13:35:00	13:59:00
47	2021-07-25	1	50211	190	5022	21:10:00	22:03:00
48	2020-07-24	1	9022	36	83059	17:20:00	17:47:00
48	2021-10-10	1	50991	77	8111	11:30:00	11:42:00
49	2019-05-13	1	21609	106	77019	11:47:00	12:20:00
49	2019-10-27	1	21661	502	92099	11:40:00	11:52:00
49	2020-01-12	1	50991	587	10101	20:05:00	20:29:00
50	2019-02-16	1	3071	124	13021	6:00:00	6:24:00
50	2019-02-21	1	83151	16	50991	23:36:00	23:47:00
50	2019-04-07	0	3221	14	13021	15:19:00	15:49:00
51	2020-01-22	1	65139	650	95019	16:44:00	17:00:00
52	2019-11-15	1	53329	960	65481	10:31:00	10:35:00
52	2021-07-23	1	82061	190	5022	13:05:00	13:28:00
54	2019-02-03	0	19091	590	10091	20:51:00	20:58:00
54	2019-04-27	0	92241	174	19089	20:09:00	20:33:00
54	2020-02-08	1	3221	36	83059	13:44:00	14:05:00
55	2020-05-27	1	8111	14	13021	13:34:00	14:10:00
55	2020-06-11	1	53011	960	65199	20:02:00	20:03:00
56	2021-07-19	1	50991	190	4223	21:56:00	22:17:00
57	2020-11-06	1	52171	77	5012	21:22:00	21:32:00
58	2019-01-04	0	12031	587	10101	7:40:00	8:50:00
58	2019-08-25	1	11289	732	99071	21:02:00	21:14:00
59	2019-09-09	0	19089	128	11201	12:03:00	12:23:00
59	2021-08-27	0	50991	16	13011	11:54:00	12:19:00
59	2021-10-15	0	19031	171	81189	11:20:00	11:23:00
60	2019-09-07	0	8121	111	81189	18:19:00	18:22:00
61	2019-03-30	1	13021	111	81189	10:37:00	11:01:00
61	2019-05-25	1	21661	171	81189	11:19:00	12:11:00
61	2019-08-18	1	65199	650	75059	23:55:00	23:56:00
61	2020-05-10	0	19031	14	13021	0:15:00	0:30:00
62	2019-07-09	0	81189	111	11201	18:39:00	18:51:00
62	2020-06-14	1	40129	175	3223	16:39:00	16:46:00
62	2020-09-16	0	92099	167	3071	19:50:00	20:10:00
63	2019-02-16	1	50061	124	9059	5:36:00	6:12:00
63	2020-09-17	1	13211	598	54371	18:31:00	18:39:00
63	2021-05-27	1	40129	7	92141	21:37:00	21:56:00
63	2021-07-25	0	50991	190	82061	21:28:00	21:40:00
64	2019-05-09	1	13011	77	40129	13:25:00	13:42:00
64	2019-06-04	0	54181	106	10018	7:59:00	8:03:00
64	2019-08-19	0	13141	167	4222	5:30:00	5:50:00
64	2019-09-30	0	50991	14	21661	6:00:00	6:12:00
64	2020-03-02	0	5022	590	92099	15:35:00	15:41:00
64	2020-03-09	0	21609	502	82049	18:27:00	18:33:00
64	2020-07-12	0	4143	124	13021	20:01:00	20:19:00
65	2019-09-08	0	17009	77	8111	23:00:00	23:42:00
65	2020-02-08	1	50069	36	83059	13:29:00	14:05:00
65	2020-05-07	0	92159	36	50069	13:51:00	14:00:00
65	2020-12-21	1	50991	16	13011	14:16:00	14:40:00
65	2021-11-10	1	21609	502	82049	22:03:00	22:09:00
66	2019-11-10	0	8111	14	12031	16:51:00	17:04:00
68	2019-04-30	0	52051	701	80159	13:39:00	13:55:00
69	2019-01-04	0	70019	587	10101	7:54:00	8:08:00
69	2021-03-25	1	7021	587	21661	8:06:00	9:15:00
70	2020-07-20	0	65199	650	95011	16:47:00	16:58:00
71	2019-03-15	1	8111	14	13021	19:31:00	19:36:00
71	2019-07-25	1	5012	77	13011	11:15:00	11:21:00
71	2021-03-26	0	13011	16	1039	20:32:00	20:53:00
71	2021-11-10	0	92099	502	81131	22:27:00	22:56:00
72	2021-02-28	0	40129	175	3223	20:11:00	20:44:00
72	2021-03-28	1	7021	587	21661	11:47:00	11:50:00
72	2021-03-29	1	92159	111	9141	13:46:00	14:06:00
73	2019-09-08	0	92159	77	70151	23:15:00	23:24:00
73	2020-06-16	1	13141	518	85019	21:42:00	22:10:00
73	2020-07-24	1	50991	171	50229	20:39:00	21:19:00
73	2021-06-29	1	8111	502	81131	22:42:00	23:03:00
73	2021-08-19	0	81131	598	1029	10:44:00	10:50:00
73	2021-10-10	0	52171	77	10101	11:58:00	12:01:00
73	2021-10-15	1	13141	171	81189	11:46:00	12:28:00
74	2019-03-04	0	13011	16	1039	6:02:00	6:22:00
74	2019-09-30	0	12031	14	13021	6:18:00	6:24:00
74	2020-08-14	1	9141	111	4222	13:52:00	14:14:00
74	2020-11-03	1	50229	111	4222	0:15:00	0:38:00
74	2021-03-20	1	54181	106	4223	16:27:00	16:38:00
76	2019-01-23	0	65139	650	95019	13:24:00	13:27:00
76	2019-07-09	0	3011	111	8121	18:11:00	18:19:00
77	2021-03-25	1	70019	587	80219	7:42:00	7:58:00
78	2019-02-28	1	9059	124	13021	10:59:00	11:11:00
79	2019-05-12	1	85019	518	9059	21:07:00	21:15:00
79	2020-02-22	0	11289	732	99071	13:24:00	13:31:00
79	2020-08-08	1	50229	111	4222	21:29:00	21:45:00
80	2019-01-30	0	9059	518	11201	6:16:00	6:32:00
80	2020-07-24	1	17009	162	52441	17:37:00	17:51:00
81	2020-08-08	1	9141	111	94059	21:13:00	21:25:00
81	2021-03-14	1	12031	190	11261	21:03:00	21:07:00
82	2019-05-13	0	54181	106	52451	20:33:00	20:34:00
82	2020-04-27	1	8031	14	8111	12:38:00	12:44:00
82	2020-11-21	0	82049	502	81131	6:13:00	6:59:00
83	2019-04-07	1	3221	14	12031	15:19:00	15:43:00
83	2020-04-12	1	21609	106	82061	16:17:00	17:58:00
83	2020-07-12	0	21661	124	9059	19:49:00	20:07:00
83	2021-12-22	1	4249	36	17009	23:28:00	23:31:00
84	2019-05-31	1	9022	610	11261	15:51:00	15:58:00
85	2019-04-13	0	21609	590	17229	16:18:00	16:34:00
85	2020-07-12	1	8031	14	8111	16:28:00	16:34:00
86	2019-05-09	0	21661	77	8111	13:07:00	13:16:00
86	2019-09-09	0	19089	128	11201	7:42:00	8:02:00
86	2019-10-03	0	92099	167	4222	12:50:00	13:01:00
86	2020-02-08	1	81189	36	9022	13:35:00	13:38:00
86	2020-11-02	1	19089	7	13021	23:43:00	23:44:00
87	2019-04-12	1	19091	36	NULL	6:10:00	NULL
87	2020-05-16	1	3011	106	82061	18:43:00	19:10:00
87	2020-07-24	0	4249	36	17009	17:32:00	17:35:00
87	2021-01-31	1	1039	7	92099	21:34:00	22:19:00
88	2019-03-30	1	94059	111	93099	10:53:00	10:57:00
88	2019-05-13	1	10018	106	3011	12:42:00	13:15:00
88	2020-06-16	1	4143	518	50211	22:25:00	22:46:00
88	2021-05-30	0	21179	128	11201	12:35:00	12:38:00
90	2020-07-12	0	92099	167	3071	20:50:00	21:01:00
91	2019-01-04	0	10101	587	21661	8:50:00	9:21:00
91	2019-02-14	0	13141	518	11201	20:01:00	20:11:00
91	2020-02-14	1	40011	598	13211	19:55:00	20:07:00
92	2019-04-06	1	4223	106	3011	7:50:00	7:59:00
92	2019-06-09	1	4143	124	13021	19:10:00	19:28:00
92	2021-10-10	0	52171	77	21661	12:01:00	12:07:00
92	2021-10-26	1	92099	7	92141	6:33:00	7:10:00
94	2019-07-25	1	75059	805	77029	12:46:00	12:49:00
95	2019-09-09	1	9131	128	11201	7:22:00	8:02:00
95	2019-10-07	1	52441	162	9131	12:48:00	13:20:00
95	2020-12-19	1	50991	77	5012	14:00:00	14:39:00
96	2019-07-25	1	9219	610	11519	13:27:00	13:30:00
97	2020-01-10	1	50061	124	92141	23:30:00	23:36:00
97	2020-07-12	0	5022	124	9059	19:25:00	20:07:00
97	2020-11-03	1	9141	111	4222	0:11:00	0:38:00
97	2021-03-28	1	92159	16	83059	17:56:00	18:11:00
98	2020-01-31	0	9059	518	4143	13:01:00	13:06:00
99	2019-05-09	1	40121	77	13011	13:04:00	13:25:00
99	2019-07-25	0	80049	77	40129	10:51:00	11:37:00
99	2019-08-21	1	77019	175	3223	13:52:00	14:06:00
99	2019-11-07	0	1039	7	40129	16:35:00	17:38:00
99	2021-12-22	1	92159	36	4249	22:58:00	23:28:00
100	2020-07-24	1	54371	171	50229	21:09:00	21:19:00
100	2020-11-12	1	92241	174	8031	14:28:00	15:16:00
100	2021-11-30	0	13141	171	54371	14:18:00	14:28:00
101	2019-08-05	1	28041	701	80159	11:21:00	11:37:00
101	2019-12-05	1	7021	587	50991	23:20:00	23:49:00
101	2021-02-21	0	50229	171	81189	6:20:00	6:40:00
102	2019-02-24	0	50211	190	4223	5:52:00	5:54:00
102	2020-01-20	1	19089	128	11201	12:58:00	13:20:00
102	2020-03-24	1	13141	167	4222	14:24:00	14:44:00
102	2020-06-16	1	13141	518	9141	22:22:00	22:46:00
103	2020-10-25	1	10101	174	8031	19:59:00	20:07:00
104	2019-11-22	0	19089	128	11201	22:24:00	22:48:00
104	2019-12-02	1	9022	36	83059	20:12:00	20:39:00
104	2020-04-09	1	40121	16	NULL	13:57:00	NULL
104	2021-01-31	0	80219	174	10018	6:48:00	7:15:00
104	2021-09-02	1	10101	175	3223	19:49:00	20:12:00
105	2019-10-11	1	77061	805	14049	11:23:00	11:26:00
107	2019-08-04	1	72159	740	44229	12:33:00	12:46:00
107	2020-03-24	1	13141	167	3071	14:24:00	14:54:00
108	2019-08-24	0	8031	162	52441	5:30:00	5:50:00
108	2020-12-05	1	70019	587	21661	19:55:00	19:56:00
108	2021-05-27	1	4143	7	92099	20:25:00	21:19:00
109	2019-02-16	0	5022	124	54181	5:37:00	5:38:00
110	2019-08-06	1	21661	171	13141	23:30:00	23:45:00
110	2021-05-20	0	3011	106	82061	13:10:00	13:38:00
112	2019-02-16	0	11261	124	13021	5:48:00	6:24:00
112	2021-01-31	0	92099	7	92141	22:19:00	23:04:00
112	2021-05-14	0	3223	77	10101	12:46:00	12:59:00
112	2021-06-19	0	4143	7	92099	23:36:00	23:54:00
113	2019-07-09	1	93099	111	4222	18:35:00	19:08:00
113	2020-11-05	0	4111	602	5059	7:51:00	8:03:00
114	2021-06-14	0	3223	77	5012	5:40:00	5:49:00
115	2019-03-30	0	9141	111	11201	11:05:00	11:13:00
115	2019-07-04	1	40129	14	12031	15:02:00	15:16:00
115	2020-09-17	0	1029	598	NULL	18:23:00	NULL
116	2020-01-20	0	9131	128	19089	11:47:00	11:57:00
116	2020-03-09	1	21609	502	81131	18:27:00	19:19:00
116	2020-11-21	0	92099	502	81131	6:31:00	6:59:00
117	2019-09-24	1	40129	7	92141	20:01:00	20:28:00
117	2021-04-01	0	85019	518	9059	18:28:00	18:37:00
118	2019-04-12	0	93099	36	83059	6:13:00	7:05:00
118	2020-07-31	0	64259	740	14491	10:27:00	10:28:00
118	2020-12-21	1	91099	16	14041	13:58:00	14:22:00
118	2021-10-10	0	52171	77	85091	12:01:00	12:10:00
119	2020-01-22	0	9141	518	11201	10:53:00	11:02:00
119	2020-09-16	0	13141	167	4222	19:40:00	20:00:00
119	2021-03-28	1	17009	16	13011	17:47:00	18:27:00
119	2021-04-30	0	21661	77	13011	6:33:00	6:51:00
120	2019-04-27	1	21179	174	8031	20:45:00	20:58:00
120	2020-07-03	0	92159	111	50229	12:23:00	12:47:00
120	2021-06-04	0	19089	7	40129	5:35:00	5:47:00
121	2019-05-11	0	21179	174	10018	22:12:00	23:08:00
121	2021-05-15	0	8121	36	9022	16:19:00	16:23:00
121	2021-10-26	1	50211	7	92141	6:06:00	7:10:00
122	2019-02-02	1	21661	124	4143	22:48:00	23:00:00
122	2020-02-09	0	92241	174	21179	16:40:00	16:52:00
123	2021-04-01	0	85019	518	50211	18:21:00	18:29:00
124	2019-11-06	1	92099	167	3071	14:05:00	14:27:00
124	2020-06-16	1	9141	518	11201	22:07:00	22:16:00
124	2020-07-01	0	92049	805	51071	20:50:00	21:03:00
124	2020-07-25	0	9141	111	93099	6:24:00	6:32:00
124	2021-02-21	1	50991	171	13141	5:40:00	6:00:00
125	2020-05-27	1	50991	14	12031	13:46:00	14:04:00
126	2019-11-02	1	12031	190	NULL	20:40:00	NULL
126	2021-05-15	1	50069	36	81189	20:08:00	20:14:00
126	2021-08-20	1	14059	502	21179	19:49:00	19:58:00
127	2019-05-31	0	8031	174	80219	20:59:00	21:12:00
127	2019-12-17	1	53009	850	53329	22:43:00	22:56:00
128	2019-08-18	0	10018	598	54371	14:32:00	14:45:00
128	2020-12-19	0	8111	77	85091	14:36:00	14:42:00
130	2020-09-20	0	13141	518	11201	12:44:00	12:59:00
132	2020-03-09	0	82109	502	21179	18:45:00	19:03:00
132	2021-01-31	0	94059	174	10101	5:30:00	5:56:00
133	2019-06-09	0	9059	124	13021	19:16:00	19:28:00
133	2020-01-31	0	12031	190	82061	12:41:00	12:43:00
133	2021-06-26	0	70151	590	10091	20:39:00	21:09:00
134	2019-01-25	0	17009	162	52441	18:11:00	18:22:00
134	2019-02-03	1	21609	590	5022	20:53:00	21:07:00
134	2019-07-17	1	50991	190	4223	14:42:00	15:02:00
134	2019-08-19	1	13141	167	92099	5:30:00	5:40:00
134	2020-07-25	0	8121	111	93099	6:08:00	6:24:00
134	2020-08-09	1	17009	162	52441	18:08:00	18:16:00
135	2019-09-13	0	65439	650	95019	16:50:00	17:03:00
135	2020-07-03	0	50229	111	11201	12:47:00	12:51:00
136	2021-04-04	1	52171	77	10101	5:34:00	5:40:00
137	2020-12-07	1	65139	650	75059	12:38:00	12:40:00
138	2019-05-28	0	40011	598	84009	18:19:00	18:27:00
138	2020-05-10	0	12031	14	13021	0:25:00	0:30:00
138	2020-07-25	1	9141	111	50229	6:32:00	6:36:00
139	2019-09-24	1	50211	7	92141	19:16:00	20:28:00
139	2021-03-20	0	3221	598	84009	13:25:00	13:38:00
139	2021-09-30	1	5022	124	21661	11:15:00	11:39:00
140	2019-04-07	0	8031	14	9131	15:07:00	16:08:00
140	2019-05-11	0	21179	174	8031	22:12:00	22:25:00
140	2020-01-20	1	9131	128	19089	12:40:00	12:58:00
140	2020-09-01	1	84009	598	54371	11:53:00	12:25:00
140	2021-09-30	0	54181	124	13021	12:03:00	12:09:00
141	2020-09-01	1	10018	598	13211	11:45:00	12:01:00
141	2021-09-11	1	5022	124	54181	12:23:00	12:30:00
142	2019-04-06	1	40121	106	52451	8:04:00	8:25:00
142	2019-05-25	1	13141	518	4143	17:11:00	17:38:00
142	2020-07-27	1	50069	36	8031	13:06:00	13:18:00
142	2021-11-09	0	11261	124	4143	12:36:00	12:54:00
143	2019-09-10	0	9131	128	52441	5:44:00	5:48:00
143	2020-07-12	0	4143	124	8031	20:01:00	20:40:00
143	2021-03-26	0	91099	16	5029	19:53:00	20:03:00
144	2019-02-16	0	3071	124	13021	6:00:00	6:24:00
144	2020-12-05	1	4222	602	5012	14:00:00	14:03:00
144	2021-03-28	0	12031	587	80219	11:46:00	12:42:00
145	2019-07-17	1	10101	174	8031	14:21:00	14:26:00
146	2019-05-31	0	94059	174	21179	19:54:00	20:46:00
146	2020-11-02	0	84009	598	50069	8:13:00	8:21:00
146	2020-11-16	1	94059	174	80219	14:28:00	14:38:00
146	2021-12-22	0	1139	36	81189	23:10:00	23:13:00
147	2019-02-16	1	9059	124	54181	6:12:00	6:18:00
147	2019-09-08	1	92159	77	21661	23:15:00	23:33:00
147	2019-10-22	1	19089	16	50991	13:56:00	13:59:00
147	2020-03-02	1	92099	590	10091	15:41:00	15:47:00
148	2020-08-13	1	41051	960	65481	19:49:00	19:53:00
149	2019-11-19	0	53011	850	53231	20:02:00	20:17:00
150	2019-02-28	1	3071	124	4143	10:47:00	10:53:00
150	2019-06-24	0	70019	587	50991	16:11:00	16:37:00
150	2019-10-13	0	70019	587	50991	16:56:00	17:22:00
150	2020-05-27	1	40129	14	12031	13:20:00	13:24:00
151	2020-02-14	1	3221	598	54371	19:43:00	20:15:00
151	2020-08-08	1	8121	111	50229	21:01:00	21:29:00
152	2019-08-13	0	53219	805	51071	11:03:00	11:06:00
153	2019-09-22	0	50991	171	50229	17:27:00	17:40:00
154	2019-07-09	1	5012	598	5029	16:36:00	16:49:00
154	2021-06-09	0	85019	518	11201	13:01:00	13:15:00
154	2021-10-26	1	4143	7	9131	5:39:00	6:24:00
155	2019-11-19	0	53009	850	53219	20:09:00	20:14:00
156	2020-01-05	1	93099	36	81189	19:20:00	19:36:00
157	2019-12-02	1	3221	36	83059	20:18:00	20:39:00
157	2020-09-04	1	14041	16	50991	13:58:00	14:04:00
157	2021-03-28	0	80219	587	10101	12:42:00	12:56:00
157	2021-10-29	1	52441	162	9131	13:30:00	14:02:00
158	2020-01-13	0	40129	175	3223	14:00:00	14:05:00
158	2021-11-09	1	92141	124	3071	12:30:00	12:48:00
159	2019-05-09	0	70151	77	85091	12:58:00	13:22:00
159	2019-05-16	1	52051	701	80159	22:14:00	22:21:00
159	2019-06-08	0	50991	171	54371	23:44:00	23:54:00
159	2020-03-09	1	21179	502	81131	19:03:00	19:19:00
159	2020-11-02	0	5012	598	5029	8:29:00	8:45:00
160	2019-10-29	0	40129	175	3223	19:32:00	19:39:00
161	2019-04-12	0	52171	36	83059	6:43:00	7:05:00
161	2019-09-01	0	13021	111	11201	19:31:00	19:46:00
161	2021-05-20	1	3011	106	82061	13:10:00	13:38:00
161	2021-10-29	1	8031	162	52441	14:00:00	14:13:00
162	2021-10-13	1	50211	190	82061	5:38:00	5:54:00
163	2019-02-28	1	5022	124	8031	10:17:00	11:29:00
163	2019-05-28	0	70151	598	5029	18:15:00	18:57:00
163	2019-07-11	0	50991	171	13141	23:43:00	23:52:00
163	2020-01-10	1	13021	124	NULL	0:18:00	NULL
163	2021-01-05	1	52441	162	14051	12:04:00	12:07:00
163	2021-11-30	1	19031	171	50991	13:48:00	13:58:00
164	2020-05-27	1	40129	14	40011	13:22:00	14:16:00
164	2021-03-26	0	13011	16	1039	20:11:00	20:32:00
164	2021-05-15	1	1139	36	4249	20:11:00	20:29:00
164	2021-06-23	1	19089	16	4121	5:37:00	5:41:00
164	2021-11-10	1	82109	502	21179	22:21:00	22:39:00
