fromstop	tostop	basefeee
10101	10018	1.15
10101	21179	0.46
10101	21661	0.23
10101	80219	0.92
10101	85091	0.69
10291	11221	0.46
10291	11261	0.69
10291	13059	1.38
10459	72159	1.38
10459	99071	1.84
10459	99189	1.61
11201	4222	0.23
11261	4143	0.69
11261	4223	0.46
11261	13021	1.38
11261	21661	0.23
11289	99071	1.61
12031	4223	1.15
12031	10101	1.15
12031	11261	0.69
12031	13021	0.23
12031	21661	1.38
12031	50991	0.69
12031	80219	0.92
12031	82061	0.92
13011	1039	0.23
13011	40129	0.23
13021	8111	1.61
13021	11201	1.84
13021	50229	1.61
13021	81189	1.38
13021	82109	1.15
13021	92099	1.38
13021	93099	1.15
13141	3071	0.69
13141	4143	1.15
13141	4222	0.46
13141	9141	0.69
13141	11201	0.92
13141	54371	0.23
13141	81189	0.69
13141	82109	0.92
13141	85019	0.23
13141	92099	0.23
13211	5012	0.69
13211	54371	0.46
14041	4121	1.61
14041	40129	1.84
14041	50991	1.38
14049	72159	0.92
14049	99071	1.38
14049	99189	1.15
14051	9131	0.23
14059	8111	1.38
14059	21179	1.61
14059	82109	0.92
14059	92099	1.15
17009	1039	2.07
17009	4121	1.15
17009	8111	2.99
17009	9131	0.69
17009	13011	1.84
17009	14051	0.46
17009	52441	0.23
17009	83059	0.23
19031	12031	0.46
19031	13021	0.69
19031	13141	0.69
19031	21661	0.46
19031	40011	0.92
19031	50991	0.23
19031	54371	0.92
19031	81189	1.38
19089	4121	1.38
19089	8031	0.46
19089	9131	0.69
19089	11201	0.23
19089	13011	2.07
19089	13021	1.15
19089	21179	0.23
19089	21609	0.46
19089	40129	1.38
19089	50991	1.15
19089	92099	0.92
19091	10091	0.69
19091	17229	0.92
19091	92099	0.46
19091	92159	0.46
21179	4121	2.07
21179	8031	0.23
21179	10018	0.69
21179	11201	0.92
21179	19089	0.69
21179	40129	2.3
21179	52441	0.46
21179	81131	0.23
21421	85091	1.38
21609	5022	0.46
21609	8111	1.15
21609	10091	0.92
21609	17229	1.15
21609	21179	1.38
21609	77019	0.69
21609	81131	1.61
21609	82049	0.23
21609	82061	2.07
21609	82109	0.69
21609	92099	0.69
21661	3071	0.23
21661	4143	0.46
21661	8111	0.46
21661	9059	0.69
21661	13011	1.15
21661	13141	0.23
21661	50229	0.69
21661	54371	0.46
21661	81189	0.92
21661	82109	0.23
21661	85091	0.92
21661	92099	0.46
28041	77061	0.46
28041	77171	0.69
28041	80159	0.92
40011	13211	0.69
40011	54371	1.15
40011	84009	0.46
40121	4121	2.3
40121	4223	0.46
40121	10018	0.23
40121	10101	0.46
40121	13011	1.38
40121	17009	1.15
40121	21179	0.23
40121	40129	2.53
40121	50991	2.07
40121	52451	0.69
40121	82061	1.15
40129	3223	0.46
40129	10101	0.23
40129	12031	1.61
40129	13011	0.46
40129	40011	2.07
40129	83059	0.23
40129	92141	0.23
40269	65381	0.92
40269	65439	2.76
40269	72159	0.69
40269	77029	1.15
40269	99189	0.92
41051	65481	2.76
41069	65431	2.07
41081	65199	1.61
42021	65481	2.07
42061	65481	1.84
50061	4143	1.15
50061	9059	1.38
50061	13021	1.84
50061	92141	0.23
50069	5029	0.69
50069	8031	0.92
50069	81189	0.46
50069	83059	2.07
50211	4223	1.38
50211	5022	1.61
50211	50991	0.69
50211	82061	1.15
50211	92141	1.38
50221	77061	0.92
50221	77171	1.15
50229	4222	0.46
50229	11201	0.23
50229	81189	0.23
50991	4223	0.69
50991	5012	2.76
50991	5022	0.92
50991	8111	2.53
50991	10101	0.46
50991	12031	0.69
50991	13011	0.92
50991	13141	0.46
50991	21661	0.69
50991	50229	0.92
50991	54371	0.69
50991	82061	0.46
50991	85091	2.99
51069	53219	1.15
51069	53231	1.38
51069	53329	1.61
51071	53219	0.92
51071	53231	1.15
51071	53329	1.38
52051	77171	0.92
52051	80159	1.15
52171	5012	2.3
52171	10018	0.46
52171	10101	1.84
52171	21421	1.15
52171	21661	1.61
52171	83059	0.69
52171	85091	2.53
52171	92159	0.23
52441	9131	0.46
52441	11201	0.46
52441	14051	0.23
52451	82061	0.46
53009	53219	0.69
53009	53329	1.15
53011	53231	0.69
53011	53329	0.92
53011	65199	0.92
53209	53219	0.23
53209	53329	0.69
53219	51071	0.92
53219	77029	1.38
53329	65431	0.92
53329	65439	1.15
53329	65481	1.38
54181	4223	1.15
54181	8031	0.46
54181	10018	0.92
54181	13021	0.23
54181	52451	1.38
54181	82061	1.84
54371	5029	0.46
54371	50229	0.23
54381	4121	2.53
64259	14491	0.92
64259	99189	0.46
65139	75059	1.15
65139	95011	1.38
65139	95019	1.61
65199	75059	0.92
65199	95011	1.15
65199	95019	1.38
65431	75059	0.69
65431	95011	0.92
65431	95019	1.15
65439	75059	0.46
65439	95011	0.69
65439	95019	0.92
67269	44229	0.92
67269	99189	0.69
70019	10101	0.92
70019	21661	1.15
70019	50991	0.46
70019	80219	0.69
70151	5022	0.69
70151	5029	1.84
70151	10091	1.15
70151	13211	0.92
70151	17229	1.38
70151	50069	1.15
70151	54371	1.38
70151	85091	1.61
70151	92099	0.92
72159	14491	0.69
72159	44229	0.46
75059	14049	0.92
75059	77029	1.61
77019	3011	1.15
77019	3223	0.92
77019	10101	0.69
77029	4223	0.92
77029	11261	0.46
77029	82061	0.69
77061	14049	1.15
77061	65381	1.61
77061	77029	1.84
80049	1029	1.38
80049	5012	2.53
80049	13211	1.84
80049	40129	2.3
80049	54371	2.3
80219	10018	0.23
80219	10101	0.23
81131	1029	1.15
81131	3223	0.69
81131	10101	0.46
81131	13011	3.45
81131	21661	2.3
81131	40129	0.23
81131	50991	0.23
81131	84009	1.38
81131	85091	3.22
81189	3221	0.69
81189	9022	0.23
81189	11201	0.46
81189	17009	1.38
81189	83059	1.61
82049	81131	1.38
82061	5022	0.46
82109	21179	0.69
83059	13011	0.23
83151	50991	0.46
84009	5029	1.15
84009	50069	0.46
84009	54371	0.69
85019	4143	0.92
85019	9059	0.23
85019	11201	0.69
85019	50211	1.15
91099	4121	1.84
91099	5029	0.92
91099	14041	0.23
91099	40129	2.07
91099	50991	1.61
91099	83151	1.15
92049	51071	1.61
92049	65381	1.84
92099	3071	0.46
92099	4222	0.23
92099	10091	0.23
92099	17229	0.46
92099	21179	0.46
92099	81131	0.69
92099	82109	0.69
92099	92141	0.69
92141	3071	0.69
92141	21661	0.46
92159	1139	0.92
92159	4222	1.61
92159	4249	2.3
92159	9022	1.38
92159	9141	0.23
92159	11201	1.38
92159	21421	0.92
92159	21661	1.38
92159	50069	0.69
92159	50229	1.15
92159	50991	0.23
92159	52171	2.07
92159	70151	0.69
92159	83059	0.92
92159	84009	0.46
92159	93099	0.69
92241	8031	0.92
92241	19089	0.46
92241	21179	0.69
92241	80219	1.15
93099	4222	0.92
93099	8031	1.84
93099	9022	1.61
93099	52171	2.3
93099	81189	1.38
93099	83059	2.99
94059	10101	0.46
94059	11201	0.92
94059	21179	0.92
94059	80219	1.38
94059	81189	0.46
94059	93099	0.23
83151	1039	1.61
13141	50211	1.61
19091	83059	2.58
40121	1039	3.1
1029	5029	1.38
12031	5022	1.38
13021	8031	0.45
21661	81131	1.15
